Rank,Article Title,Author Full Names,Source Title,Publication Year,Abstract,DOI Link,ENGINEERING.PRODUCT/UI.UX/SERVICE,Inclusion (Y/N/Q/R) for 2nd screening,Note,
209,"Data-driven intelligent computational design for products: method, techniques, and applications","Yang, Maolin; Jiang, Pingyu; Zang, Tianshuo; Liu, Yuhao",JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING,2023,"Data-driven intelligent computational design (DICD) is a research hotspot that emerged under fast-developing artificial intelligence. It emphasizes utilizing deep learning algorithms to extract and represent the design features hidden in historical or fabricated design process data and then learn the combination and mapping patterns of these design features for design solution retrieval, generation, optimization, evaluation, etc. Due to its capability of automatically and efficiently generating design solutions and thus supporting human-in-the-loop intelligent and innovative design activities, DICD has drawn the attention of both academic and industrial fields. However, as an emerging research subject, many unexplored issues still limit the development and application of DICD, such as specific dataset building, engineering design-related feature engineering, systematic methods and techniques for DICD implementation in the entire product design process, etc. In this regard, a systematic and operable road map for DICD implementation from a full-process perspective is established, including a general workflow for DICD project planning, an overall framework for DICD project implementation, the common mechanisms and calculation principles during DICD, key enabling technologies for detailed DICD implementation, and three case scenarios of DICD application. The road map can help academic researchers to locate their specific research directions for the further development of DICD and provide operable guidance for the engineers in their specific DICD applications.",http://dx.doi.org/10.1093/jcde/qwad070,ENGINEERING.PRODUCT,N,Review article,
210,AI-Assisted 3D Modeling Strategy for Microstructure-Based Functional Surfaces Using ChatGPT and Random Forest,"Noh, Younghun; Park, Sucheong; Lee, Sungho",MACHINES,2024,"With the development of computer programming, product design is being carried out through computer programming such as 3D CAD/CAM when developing products, and the cost of developing new products can be greatly reduced by using 3D modeling tools in which various engineering theories are programmed. With the recent rapid development of artificial intelligence (AI), various AI applications have been actively proposed in various fields. In this study, we report a ChatGPT-based 3D modeling program (CMP) which can easily design microstructures, and the theory of wettability that was programmed into the CMP. Since the theory related to wettability is programmed into the CMP, once the user enters basic information about the desired functional surface, such as superhydrophobic surfaces, at the CMP prompt, 3D structures with the performance of superhydrophobicity are immediately provided. Through microstructure fabrication techniques, the microstructure designed by the CMP was actually fabricated, wettability experiments were conducted, and it was confirmed that a superhydrophobic surface was successfully designed. As such, the AI-based CMP can easily design microstructure-based functional surfaces, and we expect this method not only to decrease the fabrication costs of designing micro/nano structures but also to be useful in various fields.",http://dx.doi.org/10.3390/machines12120930,ENGINEERING.PRODUCT,N,AI based CMP to efficiently design microstructure-based functional surfaces,
211,A cautionary tale about the impact of AI on human design teams,"Zhang, Guanglu; Raina, Ayush; Cagan, Jonathan; McComb, Christopher",DESIGN STUDIES,2021,"Recent advances in artificial intelligence (AI) offer opportunities for integrating AI into human design teams. Although various AIs have been developed to aid engineering design, the impact of AI usage on human design teams has received scant research attention. This research assesses the impact of a deep learning AI on distributed human design teams through a human subject study that includes an abrupt problem change. The results demonstrate that, for this study, the AI boosts the initial performance of low-performing teams before the problem change but always hurts the performance of high-performing teams. The potential reasons behind these results are discussed and several suggestions and warnings for utilizing AI in engineering design are provided. (c) 2021 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-ncnd/4.0/).",http://dx.doi.org/10.1016/j.destud.2021.100990,ENGINEERING.PRODUCT,N,No research type,
214,Efficiency Monitoring of Engineering System Designer Work Based on Multi-System User Behavior Analysis with AI/ML Algorithms,"Nikiforova, Oksana; Rizhko, Ruslan; Zabiniako, Vitaly; Babris, Kristaps; Kornienko, Jurijs; Gasparovica-Asitc, Madara",2021 IEEE 62ND INTERNATIONAL SCIENTIFIC CONFERENCE ON POWER AND ELECTRICAL ENGINEERING OF RIGA TECHNICAL UNIVERSITY (RTUCON),2021,"Efficiency monitoring is one of the important tasks in monitoring of employees activities, the solution of which is constantly in the focus of researchers and is still not supported by automated methods and universal tools. This task is especially relevant if the field of activity is narrowly specific, and solving such a task of efficiency monitoring is not a trivial accumulation of statistical data, but requires a unique method. However, potentially the method of evaluating the work efficiency of this specific field is not commonly used or adaptable in the analysis of a wide range of activities. The work of an engineering system designer is an example of such specific activities. This paper offers a method for construction of a unified model of behavior of users of specialized IT systems in the engineering design industry, which offers to evaluate the efficiency of work based on the development of a user profile that collects information about the designer's activities, sequence and times. The method defines the input data, the result output data, AI/ML algorithms for output data acquisition and is supported with the prototype system for the visual representation of the expected result, which is based on the input / output data regularities.",http://dx.doi.org/10.1109/RTUCON53541.2021.9711720,ENGINEERING.PRODUCT,Y,Markove's chain as AI/ML method for design efficiency monitoring,
215,Interaction Design of Wrist Health Prevention Products Based on Persuasive Design and AHP-Entropy Weight Method,"Li, Yuna; Guo, Yongyan","HUMAN-COMPUTER INTERACTION, HCI 2023, PT IV",2023,"The development of the Internet has extended a variety of related physical products and changed people's living habits and ways, and the sub-health problems of the wrist are one of the significant health problems caused by this. In order to solve the need to prevent and alleviate wrist health problems, wrist grip ball products occupy a large number of markets. Objective In order to meet the good experience of consumers, obtain effective user perceptual evaluation of online shopping wrist force ball products, so as to improve product design. Methods The original corpus of online comments is constructed from the Jingdong Mall network platform by Python crawler technology, and the obtained data is processed by natural language processing of word segmentation and word vector space, and the data processing results are constructed by users' perceptual evaluation polar words, and the intensity of emotional association is calculated. In order to ensure the accuracy of the extraction of product design features of the wrist force ball, natural language processing will be carried out in combination with the product specification corpus to obtain the core design features mined by online reviews. The core design features extracted are analyzed by user evaluation, and the user perceptual evaluation of wrist force ball products is obtained. Conclusion The emotional association relationship of users in the process of carpal force ball product use, the positive and negative evaluation of each component are obtained, which provides strategies and directions for the improvement design of wrist force ball products, and provides a reference for the research on product design using online review mining.",http://dx.doi.org/10.1007/978-3-031-35572-1_3,ENGINEERING.PRODUCT,N,No research type,
217,Computers as co-creative assistants. A comparative study on the use of text-to-image AI models for computer aided conceptual design,"Alcaide-Marzal, Jorge; Diego-Mas, Jose Antonio",COMPUTERS IN INDUSTRY,2025,"This preliminary research presents a comparative study between Text-to-Image AI models and Shape Grammars, one of the main generative approaches to Computer Aided Conceptual Design. The goal is to determine to which extent AI models can reproduce or complement the performance of grammar algorithms as creative support tools for shape exploration in conceptual product design. Workflows, advantages and limitations are identified through a comprehensive practical comparison example. The results show many similarities regarding generative capabilities and highlight several advantages of Text-to-Image AI models, including an easier way of capturing product grammars and a wider and more immediate range of further applications. In contrast, Shape Grammars approach proved more solid in aspects related to exploration workflows and cognitive stimulation. These results encourage the research on new ways to address the interaction between designers and AI generative models, combining the AI potential with well-established generative strategies.",http://dx.doi.org/10.1016/j.compind.2024.104168,ENGINEERING.PRODUCT,Y,"""Text-to-Image AI models as tools supporting product shape exploration""",
218,Learning to Design Without Prior Data: Discovering Generalizable Design Strategies Using Deep Learning and Tree Search,"Raina, Ayush; Cagan, Jonathan; McComb, Christopher",JOURNAL OF MECHANICAL DESIGN,2023,"Building an Artificial Intelligence (AI) agent that can design on its own has been a goal since the 1980s. Recently, deep learning has shown the ability to learn from large-scale data, enabling significant advances in data-driven design. However, learning over prior data limits us only to solve problems that have been solved before and biases data-driven learning toward existing solutions. The ultimate goal for a design agent is the ability to learn generalizable design behavior in a problem space without having seen it before. We introduce a self-learning agent framework in this work that achieves this goal. This framework integrates a deep policy network with a novel tree search algorithm, where the tree search explores the problem space, and the deep policy network leverages self-generated experience to guide the search further. This framework first demonstrates an ability to discover high-performing generative strategies without any prior data, and second, it illustrates a zero-shot generalization of generative strategies across various unseen boundary conditions. This work evaluates the effectiveness and versatility of the framework by solving multiple versions of two engineering design problems without retraining. Overall, this paper presents a methodology to self-learn high-performing and generalizable problem-solving behavior in an arbitrary problem space, circumventing the need for expert data, existing solutions, and problem-specific learning.",http://dx.doi.org/10.1115/1.4056221,ENGINEERING.PRODUCT,Y,"self-learning (design strategies, problem solving behavior) AI agent for design, DL",
219,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches,"Liao, Hao-Yu; Esmaeilian, Behzad; Behdad, Sara",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2024,"Despite the importance of product repairability, current methods for assessing and grading repairability are limited, which hampers the efforts of designers, remanufacturers, original equipment manufacturers (OEMs), and repair shops. To improve the efficiency of assessing product repairability, this study introduces two artificial intelligence (AI) based approaches. The first approach is a supervised learning framework that utilizes object detection on product teardown images to measure repairability. Transfer learning is employed with machine learning architectures such as ConvNeXt, GoogLeNet, ResNet50, and VGG16 to evaluate repairability scores. The second approach is an unsupervised learning framework that combines feature extraction and cluster learning to identify product design features and group devices with similar designs. It utilizes an oriented FAST and rotated BRIEF feature extractor (ORB) along with k-means clustering to extract features from teardown images and categorize products with similar designs. To demonstrate the application of these assessment approaches, smartphones are used as a case study. The results highlight the potential of artificial intelligence in developing an automated system for assessing and rating product repairability.",http://dx.doi.org/10.1115/1.4063561,ENGINEERING.PRODUCT,Y,"evaluation of product repairabilty, supervised and unsupervised learning, transfer learning, ML, ConvNeXt, GoogLeNet, ResNet50, and VGG16, cluster learning",
221,Reinforcement Learning Guided Detailed Routing for Custom Circuits,"Chen, Hao; Hsu, Kai-Chieh; Turner, Walker J.; Wei, Po-Hsuan; Zhu, Keren; Pan, David Z.; Ren, Haoxing","PROCEEDINGS OF THE 2023 INTERNATIONAL SYMPOSIUM ON PHYSICAL DESIGN, ISPD 2023",2023,"Detailed routing is the most tedious and complex procedure in design automation and has become a determining factor in layout automation in advanced manufacturing nodes. Despite continuing advances in custom integrated circuit (IC) routing research, industrial custom layout flows remain heavily manual due to the high complexity of the custom IC design problem. Besides conventional design objectives such as wirelength minimization, custom detailed routing must also accommodate additional constraints (e.g., path-matching) across the analog/mixed-signal (AMS) and digital domains, making an already challenging procedure even more so. This paper presents a novel detailed routing framework for custom circuits that leverages deep reinforcement learning to optimize routing patterns while considering custom routing constraints and industrial design rules. Comprehensive post-layout analyses based on industrial designs demonstrate the effectiveness of our framework in dealing with the specified constraints and producing sign-off-quality routing solutions.",http://dx.doi.org/10.1145/3569052.3571874,ENGINEERING.PRODUCT,N,Circuit design?,
223,AUTOMATING DESIGN REQUIREMENT EXTRACTION FROM TEXT WITH DEEP LEARNING,"Akay, Haluk; Yang, Maria; Kim, Sang-Gook","PROCEEDINGS OF ASME 2021 INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, IDETC-CIE2021, VOL 3B",2021,"Nearly every artifact of the modern engineering design process is digitally recorded and stored, resulting in an overwhelming amount of raw data detailing past designs. Analyzing this design knowledge and extracting functional information from sets of digital documents is a difficult and time-consuming task for human designers. For the case of textual documentation, poorly written superfluous descriptions filled with jargon are especially challenging for junior designers with less domain expertise to read. If the task of reading documents to extract functional requirements could be automated, designers could actually benefit from the distillation of massive digital repositories of design documentation into valuable information that can inform engineering design. This paper presents a system for automating the extraction of structured functional requirements from textual design documents by applying state of the art Natural Language Processing (NLP) models. A recursive method utilizing Machine Learning-based question-answering is developed to process design texts by initially identifying the highest-level functional requirement, and subsequently extracting additional requirements contained in the text passage. The efficacy of this system is evaluated by comparing the Machine Learning-based results with a study of 75 human designers performing the same design document analysis task on technical texts from the field of Microelectromechanical Systems (MEMS). The prospect of deploying such a system on the sum of all digital engineering documents suggests a future where design failures are less likely to be repeated and past successes may be consistently used to forward innovation.",,ENGINEERING.PRODUCT,R,Survey paper so not included but recommend to read,
228,Margin-based approach for outlier detection of industrial design data using a modified general regression neural network,"Sivaramakrishnan, Jayaram; Lee, Gareth; Parlevliet, David; Wong, Kok Wai",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,2022,"The choice of components in industrial design involves setting design parameters that typically must reside inside permissible ranges called design margins. This paper proposes a novel automated method called the Margin-Based General Regression Neural Network (MB-GRNN) that classifies design errors for design parameters that are outside of permissible ranges as outliers, directly from industrial design data, using an unsupervised machine learning approach. The method is based on a modified GRNN that estimates extremal margin boundaries of design parameters by self-learning the features from datasets. These extremal permissible margin boundaries are determined by stretching out the upper and lower GRNN surfaces using an iterative application of stretch factors (a second kernel weighting factor). The method creates a variable insensitive band surrounding the data cloud, interlinked with the normal regression function, providing upper and lower margin boundaries. These boundaries can then be used to determine outliers and to predict a range of permissible values of design parameters during design. Pushing out extremal margin boundaries reduce the false identification of outliers. This classification technique could be used by industrial engineers to detect likely outliers and to predict a range of permissible output limits for chosen design parameters. The efficacy of this method has been validated against the widespread Parzen window method by comparing experimental results from three multivariate datasets. It was found that the two methods have different but complementary capabilities. The MB-GRNN also uses a modified algorithm for estimating the smoothing parameter using a combination of clustering, k-nearest neighbor, and localized covariance matrix.",http://dx.doi.org/10.1017/S0890060421000329,ENGINEERING.PRODUCT,Y,""" Margin-Based General Regression Neural Network to select the components by reducing the false identification of outliers""",
229,Integration of Principal Component Analysis with AHP-QFD for Improved Product Design Decision-Making,"Apichonbancha, Pimolphan; Lin, Rong-Ho; Chuang, Chun-Ling",APPLIED SCIENCES-BASEL,2024,"The complexity of quality function deployment (QFD) matrices often hinders efficient decision-making in product design, leading to missed opportunities and extended development times. This study explores the integration of principal component analysis (PCA) with analytic hierarchy process-QFD (AHP-QFD) to address these challenges. PCA, a machine learning technique, was applied to QFD matrices from product design research to reduce complexity and enhance prioritization efficiency. The integrated method was tested with a product design team across various industries, including logistics, healthcare, and consumer electronics. The analysis demonstrated that PCA effectively reduced matrix complexity, optimizing feature prioritization. In the logistics sector, PCA explained 99.2% of the variance with the first five components, while in consumer electronics, it accounted for 86.9% with the first four components. However, PCA showed limitations in the healthcare sector due to evenly distributed variance among components. Expert feedback highlighted the practical benefits of the integrated approach: 75% of logistics experts and 62.5% of consumer electronics experts found the method clearer. For speed, 100% of logistics and 87.5% of consumer electronics experts preferred the method for quicker evaluations. For accuracy, 75% of logistics and 62.5% of consumer electronics experts deemed the method more accurate. Overall, the PCA-AHP-QFD method simplifies decision-making processes and reduces development time, particularly in industries where feature prioritization is crucial. These findings underscore the potential of the integrated approach to enhance product development efficiency and feature prioritization, with suitability varying based on industry characteristics.",http://dx.doi.org/10.3390/app14145976,ENGINEERING.PRODUCT,N,No research type,
230,ADDRESSING CHALLENGES TO PROBLEM COMPLEXITY: EFFECTIVENESS OF AI ASSISTANCE DURING THE DESIGN PROCESS,"Song, Binyang; Zurita, Nicolas F. Soria; Nolte, Hannah; Singh, Harshika; Cagan, Jonathan; McComb, Christopher","PROCEEDINGS OF ASME 2021 INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, IDETC-CIE2021, VOL 6",2021,"As Artificial Intelligence (AI) assistance tools become more ubiquitous in engineering design, it becomes increasingly necessary to understand the influence of AI assistance on the design process and design effectiveness. Previous work has shown the advantages of incorporating AI design agents to assist human designers. However, the influence of AI assistance on the behavior of designers during the design process is still unknown. This study examines the differences in participants' design process and effectiveness with and without AI assistance during a complex drone design task using the HyForm design research platform. Data collected from this study is analyzed to assess the design process and effectiveness using quantitative methods, such as Hidden Markov Models and network analysis. The results indicate that AI assistance is most beneficial when addressing moderately complex objectives but exhibits a reduced advantage in addressing highly complex objectives. During the design process, the individual designers working with AI assistance employ a relatively explorative search strategy, while the individual designers working without AI assistance devote more effort to parameter design.",https://doi.org/10.1115/DETC2021-70467,ENGINEERING.PRODUCT,N,"AI assistance's impact on human design behavior depending on problem complexity, not AI method",
231,Design Optimization Method Based on Artificial Intelligence (Hybrid Method) for Repair and Restoration Using Additive Manufacturing Technology,"Habeeb, Hiyam Adil; Abd Wahab, Dzuraidah; Azman, Abdul Hadi; Alkahari, Mohd Rizal",METALS,2023,"The concept of repair and restoration using additive manufacturing (AM) is to build new metal layers on a broken part. It is beneficial for complex parts that are no longer available in the market. Optimization methods are used to solve product design problems to produce efficient and highly sustainable products. Design optimization can improve the design of parts to improve the efficiency of the repair and restoration process using additive manufacturing during the end-of-life (EoL) phase. In this paper, the objective is to review the strategies for remanufacturing and restoration of products during or at the EoL phase and facilitate the process using AM. Design optimization for remanufacturing is important to reduce repair and restoration time. This review paper focuses on the main challenges and constraints of AM for repair and restoration. Various AI techniques, including the hybrid method that can be integrated into the design of AM, are analyzed and presented. This paper highlights the research gap and provides recommendations for future research directions. In conclusion, the combination of artificial neural network (ANN) algorithms with genetic algorithms as a hybrid method is a key solution in solving limitations and is the future for repair and restoration using additive manufacturing.",http://dx.doi.org/10.3390/met13030490,ENGINEERING.PRODUCT,N,No research type (Review paper),
232,Machine Learning-Enabled Uncertainty Quantification for Modeling Structure-Property Linkages for Fatigue Critical Engineering Alloys Using an ICME Workflow,"Whelan, Gary; McDowell, David L.",INTEGRATING MATERIALS AND MANUFACTURING INNOVATION,2020,"Integrated computational materials engineering (ICME) facilitates efficient approaches to new material discovery and design, as well as optimization of existing materials. Computational models provide a way to rapidly screen candidate material designs such that materials can be tailored for specific applications in the product design cycle. Uncertainty is ubiquitous in ICME process-structure-property workflows; it represents a major barrier to the effective use of modeling results for high-confidence decision support in materials design and development. This work addresses microstructure statistical uncertainties, and demonstrates an approach to quantify, reduce, and propagate these uncertainties through structure-property linkages to provide robust quantification of uncertainties in output properties of interest. Further, this work demonstrates the use of Gaussian process machine learning models to significantly decrease the computational cost of the aforementioned robust uncertainty quantification.",http://dx.doi.org/10.1007/s40192-020-00192-2,ENGINEERING.PRODUCT,N,,
233,"Graph models for engineering design: Model encoding, and fidelity evaluation based on dataset and other sources of knowledge","Coatanea, Eric; Nagarajan, Hari; Mokhtarian, Hossein; Wu, Di; Panicker, Suraj; Morales-Forero, Andres; Bassetto, Samuel",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,2023,"Automatically extracting knowledge from small datasets with a valid causal ordering is a challenge for current state-of-the-art methods in machine learning. Extracting other type of knowledge is important but challenging for multiple engineering fields where data are scarce and difficult to collect. This research aims to address this problem by presenting a machine learning-based modeling framework leveraging the knowledge available in fundamental units of the variables recorded from data samples, to develop parsimonious, explainable, and graph-based simulation models during the early design stages. The developed approach is exemplified using an engineering design case study of a spherical body moving in a fluid. For the system of interest, two types of intricated models are generated by (1) using an automated selection of variables from datasets and (2) combining the automated extraction with supplementary knowledge about functions and dimensional homogeneity associated with the variables of the system. The effect of design, data, model, and simulation specifications on model fidelity are investigated. The study discusses the interrelationships between fidelity levels, variables, functions, and the available knowledge. The research contributes to the development of a fidelity measurement theory by presenting the premises of a standardized, modeling approach for transforming data into measurable level of fidelities for the produced models. This research shows that structured model building with a focus on model fidelity can support early design reasoning and decision making using for example the dimensional analysis conceptual modeling (DACM) framework.",http://dx.doi.org/10.1017/S0890060422000269,ENGINEERING.PRODUCT,Y,,
236,ChatGPT and finetuned BERT: A comparative study for developing intelligent design support systems,"Qiu, Yunjian; Jin, Yan",INTELLIGENT SYSTEMS WITH APPLICATIONS,2024,"Large Language Models (LLMs), like ChatGPT, have sparked considerable interest among researchers across diverse disciplines owing to their remarkable text processing and generation capabilities. While ChatGPT is typically employed for tasks involving general knowledge, researchers increasingly explore the potential of this LLM-based tool in specific domains to enhance productivity. This study aims to compare the performance of a finetuned BERT model with that of ChatGPT on a domain-specific dataset in the context of developing an intelligent design support system. Through experiments conducted on classification and generation tasks, the knowledge transfer and elicitation abilities of ChatGPT are examined and contrasted with those of the finetuned BERT model. The findings indicate that ChatGPT exhibits comparable performance to the finetuned BERT model in sentence-level classification tasks but struggles with short sequences. However, ChatGPT's classification performance significantly improves when a few-shot setting is applied. Moreover, it can filter out unrelated data and enhance dataset quality by assimilating the underlying domain knowledge. Regarding content generation, ChatGPT with a zero-shot setting produces informative and readable output for domain-specific questions, albeit with an excessive amount of unrelated information, which can burden readers. In conclusion, ChatGPT demonstrates a promising potential for application in facilitating data labeling, knowledge transfer, and knowledge elicitation tasks. With minimal guidance, ChatGPT can substantially enhance the efficiency of domain experts in accomplishing their objectives. The findings suggest a nuanced integration of artificial intelligence (AI) with human expertise, bridging the gap from mere classification models to sophisticated human-analogous text generation systems. This signals a future in AI-augmented engineering design where the robust capabilities of AI technologies integrate with human creativity and innovation, creating a dynamic interactions to redefine how we tackle design challenges.",http://dx.doi.org/10.1016/j.iswa.2023.200308,ENGINEERING.PRODUCT,Y,,
237,Thermal energy cycle and product appearance design in precision engineering manufacturing process based on artificial intelligence,"Zhang, Chenlei",THERMAL SCIENCE AND ENGINEERING PROGRESS,2025,"With the increasing demand for precision engineering in the global manufacturing industry, efficient management of thermal energy cycles and intelligent product design have become important topics for improving manufacturing efficiency and product competitiveness. This article aims to explore the thermal energy cycle and product appearance design in precision engineering manufacturing processes based on artificial intelligence, in order to achieve higher energy efficiency and product quality. The study reviewed the current technological progress in the field and analyzed various algorithms for high-performance artificial intelligence computing, including hardware design of intelligent computing algorithms, non parametric machine learning, intelligent recognition algorithms, and CPU performance testing. In terms of intelligent control design for thermal energy cycle, a thermal energy cycle supervision model was developed, followed by the design of workshop energy consumption analysis algorithm and in-depth analysis of the efficiency of the thermal system. In terms of intelligent design of the appearance of precision engineering products, this article proposes the composition of an energy-saving system, verifies the energy loss model, and formulates energy-saving optimization strategies for product appearance design, effectively reducing energy consumption and strengthening the market competitiveness of the product. The comprehensive research on thermal energy cycle and product appearance design shows that artificial intelligence technology has important application potential in precision engineering manufacturing. It can not only improve the efficiency of thermal energy utilization, but also promote resource conservation and environmental protection, and promote sustainable development.",http://dx.doi.org/10.1016/j.tsep.2024.103161,ENGINEERING.PRODUCT,N,Review article,
239,The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,"Mo, Zhenchong; Gong, Lin; Zhu, Mingren; Lan, Junde",SUSTAINABILITY,2024,"Large language model (LLM) and Crowd Intelligent Innovation (CII) are reshaping the field of engineering design and becoming a new design context. Generative generic-field design can solve more general design problems innovatively by integrating multi-domain design knowledge. However, there is a lack of knowledge representation and design process model in line with the design cognition of the new context. It is urgent to develop generative generic-field design methods to improve the feasibility, innovation, and empathy of design results. This study proposes a method based on design cognition and knowledge reasoning. Firstly, through the problem formulation, a generative universal domain design framework and knowledge base are constructed. Secondly, the knowledge-based discrete physical structure set generation method and system architecture generation method are proposed. Finally, the application tool Intelligent Design Assistant (IDA) is developed, verified, and discussed through an engineering design case. According to the design results and discussion, the design scheme is feasible and reflects empathy for the fuzzy original design requirements. Therefore, the method proposed in this paper is an effective technical scheme of generative generic-field engineering design in line with the design cognition in the new context.",http://dx.doi.org/10.3390/su16229841,ENGINEERING.PRODUCT,Y,LLM for engineering design,"In the field of engineering design, generative design based on LLM still has two shortcomings: the design results are considered to lack feasibility, and the output of the model lacks empathy with the designer and design context."
240,A case-based knowledge graph with reinforcement learning for intelligent design approach of complex product,"Huang, Yu; Wang, Guoxin; Wang, Ru; Peng, Tao; Li, Haokun; Yan, Yan",JOURNAL OF ENGINEERING DESIGN,2024,"Amidst the challenge of striving for rapid production and cost reduction, enterprises exhibit a growing demand for inventive, efficient, and high-caliber solutions in product design. The design field has followed the integration of Knowledge Graph and Artificial Intelligence technologies, and attempts have been made to address the demands of rapidity and intelligence. However, effectively leveraging knowledge to achieve rapid product generation remains a challenge. Thus, this paper proposes a case-based knowledge graph with reinforcement learning for the intelligent design approach of complex products, intending to tackle the difficulty of efficiently representing case knowledge of complex products and identifying key modification points in case reconstruction. Knowledge graph technology integrates and defines the features and component data from historical cases intuitively and structuredly. Similarity calculation is employed to facilitate case retrieval and the acquisition of configurable components. Combining the component relationships of the case graphs provides reward values for further adopted reinforcement learning, thereby aiding designers in identifying critical components to reconstruct the case further and achieving a balance between configuration efficiency and product quality. Finally, radar design is utilised as an exemplar to validate the efficacy of the proposed method.",http://dx.doi.org/10.1080/09544828.2024.2355756,ENGINEERING.PRODUCT,Y,a case-based knowledge graph with reinforcement learning for the intelligent design approach,
242,Bond strength between recycled aggregate concrete and rebar: Interpretable machine learning modeling approach for performance estimation and engineering design,"Li, Li; Guo, Yihang; Zhang, Yang; Xu, Kaidong; Wang, Xinzheng",MATERIALS TODAY COMMUNICATIONS,2024,"Recycled aggregate concrete has a large potential for application as a sustainable building material. To assist in guiding the engineering design of this low-carbon material, the complex relationship between its bond strength to the rebar and various design parameters was modeled. Comparative studies of multiple machine learning methods have shown that the extreme random tree model demonstrates outstanding performance with root mean square error of 1.982, mean absolute error of 1.202 and coefficient of determination of 0.954. To determine the role of design parameters in performance prediction, importance analysis and sensitivity analyses for parameters were used to explore the complex relationship in the model. The results indicated that rebar type, water-cement ratio, anchorage length, and compressive strength are crucial factors affecting the bond strength between recycled aggregate concrete and rebar. In addition, to further demonstrate the reliability and accuracy of machine learning models, explicit models in some specifications were used for comparative analysis. Due to variability in influencing factors, limited test data, and variability in material properties, the explicit models have limited accuracy for bond strength between recycled aggregate concrete and rebar. Therefore, the interpretable modeling approach can provide an accurate estimate of the bond strength between recycled concrete aggregates and rebar and guide the engineering design of this structure.",http://dx.doi.org/10.1016/j.mtcomm.2024.108945,ENGINEERING.PRODUCT,N,Concrete engineering,
243,Research on Product Modeling and Design Path Driven by Artificial Intelligence Based on Kansei Engineering and TOPSIS,"Yong, Lei","2024 5TH INTERNATIONAL CONFERENCE ON MECHATRONICS TECHNOLOGY AND INTELLIGENT MANUFACTURING, ICMTIM 2024",2024,"This article explores academic literature both domestically and internationally, and organizes knowledge related to users' perceptual cognitive measurement and its design applications. When facing the problems in traditional users' perception measurement, deep research should be conducted in two aspects. Firstly, it is necessary to pay attention to the increasement in sample collection volume and the comprehensiveness of measurement. Secondly, we should continue to explore the correlation between users' perceptual cognition and their measurement applications. To address these issues, this article proposes a product design path based on Kansei Engineering and TOPSIS, which is driven by artificial intelligence. By translating the subjective evaluation results of users into design specifications, it can provide strong guidance for product design. In order to verify the effectiveness of this method, a seat design is selected as a case study. The research results indicate that this path aims to deeply tap into user perception, help designers comprehensively understand users' needs, and provide solutions that better meet user expectations and satisfaction, thereby enhancing users' psychological identification with the product and enhancing its competitiveness in the market.",http://dx.doi.org/10.1109/ICMTIM62047.2024.10629273,ENGINEERING.PRODUCT,N,No research type (Review paper),
244,Creative collaboration with interactive evolutionary algorithms: a reflective exploratory design study,"Uusitalo, Severi; Kantosalo, Anna; Salovaara, Antti; Takala, Tapio; Guckelsberger, Christian",GENETIC PROGRAMMING AND EVOLVABLE MACHINES,2024,"Progress in AI has brought new approaches for designing products via co-creative human-computer interaction. In architecture, interior design, and industrial design, computational methods such as evolutionary algorithms support the designer's creative process by revealing populations of computer-generated design solutions in a parametric design space. Because the benefits and shortcomings of such algorithms' use in design processes are not yet fully understood, the authors studied the intricate interactions of an industrial designer employing an interactive evolutionary algorithm for a non-trivial creative product design task. In an in-depth report on the in-situ longitudinal experiences arising between the algorithm, human designer, and environment, from ideation to fabrication, they reflect on the algorithm's role in inspiring design, its relationship to fixation, and the stages of the creative process in which it yielded perceived value. The paper concludes with proposals for future research into co-creative AI in design exploration and creative practice.",http://dx.doi.org/10.1007/s10710-023-09477-9,ENGINEERING.PRODUCT,R,Research through Design paper so not included but recommend to read,
